fonte,k_num,topico,ano,estimativa,ic_inf,ic_sup
composição fixa,6,T6: Teoria e Pensamento Político,2001,0.2838477170349787,0.2675465798815987,0.2987212771430974
composição fixa,6,T6: Teoria e Pensamento Político,2002,0.27768118805406145,0.2611083618642691,0.2928764730218544
composição fixa,6,T6: Teoria e Pensamento Político,2003,0.2714321931699485,0.2549651142181461,0.28650200962819156
composição fixa,6,T6: Teoria e Pensamento Político,2004,0.2650870228067362,0.24934112885434773,0.2798624552932142
composição fixa,6,T6: Teoria e Pensamento Político,2005,0.25863260878272926,0.24395475002055925,0.2727417968941481
composição fixa,6,T6: Teoria e Pensamento Político,2006,0.2520584484930648,0.23789101223596532,0.26604310682203314
composição fixa,6,T6: Teoria e Pensamento Político,2007,0.24535468072708808,0.23075052852039224,0.25960677998452353
composição fixa,6,T6: Teoria e Pensamento Político,2008,0.2385114442741445,0.2232958510331703,0.2537522089686124
composição fixa,6,T6: Teoria e Pensamento Político,2009,0.23151887792357942,0.2160796281622263,0.2469894876918861
composição fixa,6,T6: Teoria e Pensamento Político,2010,0.22436712046473797,0.20980060371825138,0.23861625651047783
composição fixa,6,T6: Teoria e Pensamento Político,2011,0.2170304622503591,0.20330700926001405,0.22995484640165886
composição fixa,6,T6: Teoria e Pensamento Político,2012,0.2094197998867552,0.1960942177817795,0.2229292028521291
composição fixa,6,T6: Teoria e Pensamento Político,2013,0.20143018154363232,0.18759818314954907,0.21550196744184405
composição fixa,6,T6: Teoria e Pensamento Político,2014,0.1929566553906964,0.18010596339586743,0.20576702436041783
composição fixa,6,T6: Teoria e Pensamento Político,2015,0.1843015387733735,0.17293014851314442,0.19546169270107422
composição fixa,6,T6: Teoria e Pensamento Político,2016,0.17739622573997,0.1646602502726235,0.19063595000303787
composição fixa,6,T6: Teoria e Pensamento Político,2017,0.17375674430884386,0.16264872985930895,0.18527276162081924
composição fixa,6,T6: Teoria e Pensamento Político,2018,0.17160858167567825,0.15992502222700067,0.18381084418417437
composição fixa,6,T6: Teoria e Pensamento Político,2019,0.16835458983048768,0.15632480298998044,0.1802447173579378
composição fixa,6,T6: Teoria e Pensamento Político,2020,0.16341805208091872,0.1501243374299211,0.17621050194366128
composição fixa,6,T6: Teoria e Pensamento Político,2021,0.1643039770051462,0.15028340490530212,0.17831187117248798
composição fixa,6,T6: Teoria e Pensamento Político,2022,0.1722431489101682,0.15579796424697318,0.1885800711395341
composição fixa,6,T6: Teoria e Pensamento Político,2023,0.15528772974774815,0.13805895319259603,0.17215243736829636
composição fixa,6,T6: Teoria e Pensamento Político,2024,0.1704997576576368,0.15551541420309017,0.18647859198149094
composição fixa,7,"T7: Direitos, Gênero e Violência",1984,0.03135220994760992,-0.07620321512410108,0.13599568319505134
composição fixa,7,"T7: Direitos, Gênero e Violência",1985,0.033229654297409886,-0.05178671062980465,0.11686409896805053
composição fixa,7,"T7: Direitos, Gênero e Violência",1986,0.03484460505247448,-0.030907355544550527,0.09985973641864386
composição fixa,7,"T7: Direitos, Gênero e Violência",1987,0.03621974591356664,-0.01483590559360013,0.08567809925578032
composição fixa,7,"T7: Direitos, Gênero e Violência",1988,0.03737776058144931,-0.001684555672930983,0.07673415034096545
composição fixa,7,"T7: Direitos, Gênero e Violência",1989,0.03834133275688545,0.0082993650350088,0.0688913603447535
composição fixa,7,"T7: Direitos, Gênero e Violência",1990,0.03913314614063801,0.016210041994611415,0.0633426403904699
composição fixa,7,"T7: Direitos, Gênero e Violência",1991,0.039775884433469924,0.021034485580739518,0.059153013196762166
composição fixa,7,"T7: Direitos, Gênero e Violência",1992,0.04029223133614415,0.02342296758971165,0.057871742616207214
composição fixa,7,"T7: Direitos, Gênero e Violência",1993,0.040704870549423636,0.024956949640213333,0.05698573048139308
composição fixa,7,"T7: Direitos, Gênero e Violência",1994,0.04103648577407132,0.026250095352964516,0.05649406636151509
composição fixa,7,"T7: Direitos, Gênero e Violência",1995,0.04130976071085016,0.027049192362432528,0.055786367239451844
composição fixa,7,"T7: Direitos, Gênero e Violência",1996,0.0415473790605231,0.028470408292889993,0.05519535067772796
composição fixa,7,"T7: Direitos, Gênero e Violência",1997,0.04177202452385309,0.029733577721752905,0.05486854978565517
composição fixa,7,"T7: Direitos, Gênero e Violência",1998,0.04200638080160307,0.03058611363841341,0.05470531341837191
composição fixa,7,"T7: Direitos, Gênero e Violência",1999,0.042273131594536,0.031004350127336294,0.05488994835699086
composição fixa,7,"T7: Direitos, Gênero e Violência",2000,0.04259496060341482,0.031264363306002574,0.05521958795300738
composição fixa,7,"T7: Direitos, Gênero e Violência",2001,0.04299455152900248,0.0311885385287222,0.05624421689829577
composição fixa,7,"T7: Direitos, Gênero e Violência",2002,0.04349458807206192,0.031399069161126385,0.05673186759291639
composição fixa,7,"T7: Direitos, Gênero e Violência",2003,0.0441177539333561,0.03223747183722979,0.05714501552837222
